"addr_state","Loans by state"
"WV",24791950
"HI",26104050
"OR",55068800
"GA",163777275
"SD",9180550
"MI",127058450
"WA",104990200
"VA",151412925
"WY",11631975
"DC",13593100
"MS",30116500
"MT",13795650
"IN",84324550
"AZ",111957475
"CT",76353750
"NY",408924850
"WI",63925075
"OH",163261750
"TN",81092475
"CO",106171225
"NM",28193825
"NC",132966700
"CA",689790125
"AR",37282200
"AL",63472700
"RI",21108625
"PA",174350875
"ND",3149500
"MN",86170750
"MA",120407025
"DE",14739800
"MO",77119175
"KS",44217550
"ME",1340600
"OK",45221400
"MD",123566625
"SC",61572725
"NJ",195040150
"VT",10500875
"NH",24347800
"AK",12552575
"IA",6725
"UT",33981000
"IL",209457650
"NE",10116125
"NV",64409475
"LA",59415600
"TX",425722700
"KY",48394825
"FL",316562225