"addr_state","loans_vol"
"AK","567"
"AL","2485"
"AR","1417"
"AZ","5028"
"CA","35778"
"CO","4829"
"CT","3067"
"DC","750"
"DE","546"
"FL","14021"
"GA","6654"
"HI","1202"
"IA","5"
"ID","5"
"IL","7711"
"IN","2174"
"KS","1727"
"KY","1832"
"LA","2386"
"MA","5123"
"MD","4907"
"ME","13"
"MI","4846"
"MN","3657"
"MO","3173"
"MS","335"
"MT","641"
"NC","5613"
"ND","8"
"NE","34"
"NH","991"
"NJ","7760"
"NM","1108"
"NV","3006"
"NY","17214"
"OH","6266"
"OK","1710"
"OR","2809"
"PA","6842"
"RI","896"
"SC","2369"
"SD","454"
"TN","1863"
"TX","16308"
"UT","1763"
"VA","6504"
"VT","358"
"WA","4929"
"WI","2542"
"WV","978"
"WY","520"